creditCardId,cardType,cardNumber,expiryMonth,expiryYear
1,SuperiorCard,33332664695310,11,2006
2,Distinguish,55552127249722,8,2005
3,ColonialVoice,77778344838353,7,2005
4,ColonialVoice,77774915718248,7,2006
5,Vista,11114404600042,4,2005
6,Distinguish,55557132036181,9,2006
7,Distinguish,55553635401028,6,2007
8,SuperiorCard,33336081193101,7,2007
9,Distinguish,55553465625901,2,2005
10,SuperiorCard,33332126386493,8,2008
11,SuperiorCard,33335352517363,10,2008
12,SuperiorCard,33334316194519,4,2008
13,Vista,11119775847802,11,2005
14,Distinguish,55553287727410,10,2006
15,SuperiorCard,33336866065599,11,2008
16,Vista,11111985451507,8,2006
17,ColonialVoice,77771220960729,8,2008
18,ColonialVoice,77773971683137,8,2007
19,ColonialVoice,77779803886862,9,2007
20,SuperiorCard,33332150058339,3,2007
21,SuperiorCard,33336474467548,3,2006
22,ColonialVoice,77772030376004,3,2005
23,Vista,11117174633569,7,2006
24,Vista,11111658051128,11,2005
25,Vista,11119905436490,1,2007
26,Distinguish,55554195847998,11,2008
27,SuperiorCard,33333837392825,12,2008
28,SuperiorCard,33337040086193,12,2006
29,SuperiorCard,33333594431481,2,2007
30,Vista,11111281844021,6,2006
31,Vista,11112040199986,10,2008
32,Distinguish,55552506272209,6,2006
33,SuperiorCard,33335588002748,2,2006
34,Vista,11115274414475,10,2006
35,SuperiorCard,33333028993903,2,2007
36,Vista,11111169772836,11,2006
37,Distinguish,55551349750603,7,2007
38,Distinguish,55555420711099,7,2008
39,Vista,11117546738833,5,2005
40,Distinguish,55555841603354,4,2008
41,Vista,11113757706549,7,2008
42,Distinguish,55555053963314,3,2005
43,SuperiorCard,33332773200339,3,2006
44,ColonialVoice,77779171924785,6,2007
45,Distinguish,55551983685258,4,2006
46,SuperiorCard,33331306076760,12,2005
47,Distinguish,55551566702747,3,2008
48,SuperiorCard,33338676321482,3,2008
49,SuperiorCard,33337796706807,6,2008
50,ColonialVoice,77776755686502,5,2007
51,SuperiorCard,33337051999262,3,2007
52,Vista,11113124378865,3,2008
53,ColonialVoice,77772212684661,5,2006
54,Distinguish,55553252134216,12,2006
55,ColonialVoice,77776585377718,5,2008
56,Distinguish,55551526073305,7,2007
57,ColonialVoice,77775318833306,10,2008
58,Vista,11117610506869,12,2008
59,Vista,11116857559490,9,2006
60,Vista,11111063290504,1,2008
61,Distinguish,55553521953614,4,2008
62,SuperiorCard,33336076362820,1,2005
63,Distinguish,55552834411554,4,2008
64,ColonialVoice,77776280624762,2,2005
65,Distinguish,55556135765472,4,2005
66,ColonialVoice,77774204284216,8,2005
67,SuperiorCard,33335516443528,12,2005
68,SuperiorCard,33337185413753,3,2005
69,ColonialVoice,77773035177913,6,2005
70,Distinguish,55556217280260,3,2008
71,Vista,11116167886495,7,2005
72,Distinguish,55557166092204,7,2005
73,Vista,11111097285749,1,2008
74,Vista,11111875326223,11,2007
75,SuperiorCard,33339024575831,11,2008
76,SuperiorCard,33337723858818,5,2008
77,Distinguish,55552491484622,8,2008
78,SuperiorCard,33335304638114,8,2008
79,Vista,11118018211102,7,2006
80,ColonialVoice,77772340294400,11,2008
81,Distinguish,55557892934839,6,2007
82,Distinguish,55552580794715,11,2006
83,Vista,11118036755505,4,2008
84,Distinguish,55556891733409,1,2006
85,ColonialVoice,77775989712942,4,2006
86,SuperiorCard,33336703497121,1,2006
87,Vista,11115536966870,8,2007
88,Distinguish,55559505872957,1,2006
89,SuperiorCard,33332972701054,4,2007
90,Distinguish,55554129226031,11,2007
91,SuperiorCard,33334379129505,1,2006
92,SuperiorCard,33334394499932,10,2006
93,Vista,11117160559398,2,2005
94,Distinguish,55553576381881,5,2005
95,Distinguish,55551358663947,5,2007
96,SuperiorCard,33337600423179,4,2007
97,ColonialVoice,77778908268190,12,2007
98,SuperiorCard,33334689130342,9,2006
99,Vista,11119575282326,12,2006
100,ColonialVoice,77775942872654,9,2007
101,ColonialVoice,77771155924577,12,2006
102,ColonialVoice,77777905530572,12,2008
103,Vista,11113359002897,10,2007
104,ColonialVoice,77772996189531,11,2005
105,Distinguish,55558305945748,4,2008
106,SuperiorCard,33331614606503,10,2008
107,ColonialVoice,77771467512075,12,2006
108,Vista,11114226806511,4,2006
109,Vista,11115965551854,8,2007
110,Distinguish,55556494862795,12,2006
111,SuperiorCard,33339067552676,4,2006
112,Vista,11118290057240,3,2007
113,Vista,11117863519103,2,2005
114,SuperiorCard,33338624829973,8,2006
115,Distinguish,55557331288433,1,2005
116,Distinguish,55551539904121,5,2006
117,ColonialVoice,77778258299726,8,2005
118,Distinguish,55551810976353,10,2007
119,Distinguish,55551090366683,1,2006
120,Distinguish,55554797685048,1,2006
121,Distinguish,55556497893044,8,2005
122,ColonialVoice,77775805844194,9,2007
123,Distinguish,55552551439953,8,2007
124,ColonialVoice,77772054172195,12,2007
125,ColonialVoice,77774261153866,6,2006
126,SuperiorCard,33335620908839,11,2005
127,ColonialVoice,77778668677894,4,2008
128,Distinguish,55554615582353,8,2006
129,Distinguish,55555625235288,12,2005
130,Vista,11117013974027,7,2005
131,SuperiorCard,33333327723729,6,2008
132,SuperiorCard,33332924248632,1,2008
133,Distinguish,55551500034619,8,2006
134,ColonialVoice,77779074972626,8,2006
135,ColonialVoice,77773476995492,4,2006
136,Distinguish,55553177744050,9,2008
137,Distinguish,55558265626436,12,2006
138,Distinguish,55553993498931,7,2005
139,SuperiorCard,33333046058215,6,2007
140,SuperiorCard,33332539446148,1,2005
141,Distinguish,55553385255792,8,2007
142,Distinguish,55554148938512,6,2006
143,SuperiorCard,33338956772123,5,2005
144,Distinguish,55552263625446,3,2007
145,ColonialVoice,77771579806358,1,2007
146,SuperiorCard,33331510913646,1,2006
147,SuperiorCard,33335009967295,1,2007
148,SuperiorCard,33336376132542,8,2006
149,ColonialVoice,77777697898447,11,2006
150,Vista,11113974751980,12,2006
151,SuperiorCard,33331897508563,12,2007
152,SuperiorCard,33332580697839,10,2005
153,Vista,11117820763787,1,2005
154,ColonialVoice,77774677693254,8,2008
155,ColonialVoice,77777310997414,3,2006
156,Vista,11117316308667,4,2007
157,Vista,11112727657519,6,2005
158,SuperiorCard,33338418715127,6,2006
159,SuperiorCard,33332180625781,1,2008
160,Vista,11117586821468,12,2007
161,Vista,11113066996675,3,2005
162,SuperiorCard,33338226131303,8,2008
163,Vista,11115931141608,12,2006
164,ColonialVoice,77773467064957,5,2005
165,ColonialVoice,77772090003580,2,2007
166,Vista,11117354769916,9,2006
167,SuperiorCard,33335313248723,11,2005
168,SuperiorCard,33331366432094,1,2007
169,Distinguish,55555490126754,10,2008
170,ColonialVoice,77775004062798,6,2006
171,Distinguish,55554843263520,8,2005
172,SuperiorCard,33338669078698,11,2008
173,SuperiorCard,33331831813839,10,2007
174,ColonialVoice,77772993284666,7,2006
175,ColonialVoice,77779842480754,1,2006
176,SuperiorCard,33337664613331,10,2007
177,Vista,11114493005589,9,2005
178,Vista,11115247168390,6,2008
179,SuperiorCard,33332143726640,3,2007
180,Distinguish,55554119155738,12,2008
181,ColonialVoice,77773813992363,12,2007
182,Distinguish,55557755502133,3,2008
183,Vista,11112359824733,3,2005
184,SuperiorCard,33333348568848,10,2007
185,Distinguish,55559237831556,3,2008
186,Vista,11118301852338,10,2007
187,Vista,11115020407589,2,2007
188,ColonialVoice,77777688940363,12,2005
189,SuperiorCard,33338902011178,1,2008
190,Distinguish,55557767763037,7,2006
191,SuperiorCard,33338434402110,7,2005
192,SuperiorCard,33335647678654,6,2007
193,Vista,11115472069769,12,2005
194,ColonialVoice,77774510580754,8,2008
195,Distinguish,55551871947166,9,2005
196,Vista,11117010076386,7,2005
197,Distinguish,55556931298047,5,2006
198,SuperiorCard,33335007569167,7,2007
199,SuperiorCard,33335500655096,5,2007
200,Distinguish,55557032858138,4,2008
201,ColonialVoice,77779670323108,5,2005
202,SuperiorCard,33338461708438,12,2007
203,Vista,11111448471115,11,2007
204,Distinguish,55556333798473,4,2005
205,Distinguish,55556779365170,4,2008
206,Vista,11116739347695,7,2006
207,Distinguish,55553665516951,1,2008
208,Distinguish,55551100991160,11,2007
209,Vista,11115652257330,11,2005
210,SuperiorCard,33331045083655,7,2006
211,SuperiorCard,33338100993388,6,2006
212,SuperiorCard,33334516281208,7,2008
213,SuperiorCard,33335468433685,9,2008
214,SuperiorCard,33334836418984,4,2008
215,Vista,11112748708059,3,2008
216,Distinguish,55559713551424,7,2005
217,SuperiorCard,33337773356896,10,2005
218,Vista,11116900410151,12,2007
219,SuperiorCard,33333000525927,2,2006
220,Distinguish,55556544254316,12,2005
221,Vista,11113174835553,10,2007
222,ColonialVoice,77777095305642,3,2007
223,SuperiorCard,33334363859950,8,2007
224,Vista,11111290138301,5,2006
225,Vista,11111419890999,10,2005
226,SuperiorCard,33332281809376,4,2006
227,Vista,11113025574459,10,2007
228,Vista,11117706542802,7,2007
229,SuperiorCard,33331049139565,9,2008
230,Distinguish,55552612523111,7,2008
231,Vista,11119558626152,11,2008
232,Vista,11114626054731,10,2007
233,ColonialVoice,77778363584843,1,2007
234,ColonialVoice,77775702340665,3,2005
235,ColonialVoice,77774153486314,2,2006
236,ColonialVoice,77772024781018,12,2005
237,SuperiorCard,33334524652098,4,2006
238,ColonialVoice,77771764342795,12,2005
239,Distinguish,55556382031773,10,2006
240,Distinguish,55553353112217,5,2008
241,ColonialVoice,77776406923553,5,2005
242,SuperiorCard,33337414425957,10,2005
